simulation,match_id,round,home_team,away_team,home_goals,away_goals,winner,loser,penalties
18,88,Round of 32,Colombia,Croatia,1,0,Colombia,Croatia,False
18,89,Round of 16,Czech Republic,Turkey,2,0,Czech Republic,Turkey,False
18,90,Round of 16,Brazil,Senegal,1,3,Senegal,Brazil,False
18,91,Round of 16,Netherlands,France,1,1,Netherlands,France,True
18,92,Round of 16,Ecuador,Panama,3,1,Ecuador,Panama,False
18,93,Round of 16,England,Spain,2,2,Spain,England,True
18,94,Round of 16,South Korea,Paraguay,1,0,South Korea,Paraguay,False
18,95,Round of 16,United States,Colombia,0,3,Colombia,United States,False
18,96,Round of 16,Belgium,Argentina,3,1,Belgium,Argentina,False
18,97,Quarter-final,Czech Republic,Senegal,0,1,Senegal,Czech Republic,False
18,98,Quarter-final,Spain,South Korea,2,1,Spain,South Korea,False
18,99,Quarter-final,Netherlands,Ecuador,1,3,Ecuador,Netherlands,False
18,100,Quarter-final,Colombia,Belgium,2,3,Belgium,Colombia,False
18,101,Semi-final,Senegal,Spain,1,1,Senegal,Spain,True
18,102,Semi-final,Ecuador,Belgium,2,2,Belgium,Ecuador,True
18,103,Third-place playoff,Spain,Ecuador,2,0,Spain,Ecuador,False
18,104,Final,Senegal,Belgium,0,1,Belgium,Senegal,False
19,73,Round of 32,Mexico,Bosnia and Herzegovina,5,1,Mexico,Bosnia and Herzegovina,False
19,74,Round of 32,Brazil,Japan,0,1,Japan,Brazil,False
19,75,Round of 32,Ecuador,Haiti,2,0,Ecuador,Haiti,False
19,76,Round of 32,Netherlands,Morocco,3,1,Netherlands,Morocco,False
19,77,Round of 32,Germany,Senegal,2,2,Senegal,Germany,True
19,78,Round of 32,France,United States,4,1,France,United States,False
19,79,Round of 32,South Korea,Curaçao,1,1,Curaçao,South Korea,True
19,80,Round of 32,England,DR Congo,2,0,England,DR Congo,False
19,81,Round of 32,New Zealand,Czech Republic,0,3,Czech Republic,New Zealand,False
19,82,Round of 32,Paraguay,Switzerland,1,1,Paraguay,Switzerland,True
19,83,Round of 32,Portugal,Croatia,2,1,Portugal,Croatia,False
19,84,Round of 32,Spain,Algeria,0,0,Spain,Algeria,True
19,85,Round of 32,Canada,Belgium,3,2,Canada,Belgium,False
19,86,Round of 32,Australia,Iran,3,1,Australia,Iran,False
19,87,Round of 32,Argentina,Uruguay,6,0,Argentina,Uruguay,False
19,88,Round of 32,Colombia,Panama,0,0,Panama,Colombia,True
19,89,Round of 16,Mexico,Ecuador,0,2,Ecuador,Mexico,False
19,90,Round of 16,Japan,Senegal,0,1,Senegal,Japan,False
19,91,Round of 16,Netherlands,France,1,1,France,Netherlands,True
19,92,Round of 16,Curaçao,England,0,2,England,Curaçao,False
19,93,Round of 16,Portugal,Spain,2,1,Portugal,Spain,False
19,94,Round of 16,Czech Republic,Paraguay,2,1,Czech Republic,Paraguay,False
19,95,Round of 16,Australia,Panama,2,1,Australia,Panama,False
19,96,Round of 16,Canada,Argentina,0,4,Argentina,Canada,False
19,97,Quarter-final,Ecuador,Senegal,1,1,Senegal,Ecuador,True
19,98,Quarter-final,Portugal,Czech Republic,4,2,Portugal,Czech Republic,False
19,99,Quarter-final,France,England,0,1,England,France,False
19,100,Quarter-final,Australia,Argentina,1,1,Argentina,Australia,True
19,101,Semi-final,Senegal,Portugal,1,2,Portugal,Senegal,False
19,102,Semi-final,England,Argentina,0,3,Argentina,England,False
