date,home_team,away_team,tournament,neutral,home_elo_before,away_elo_before,home_elo_after,away_elo_after,goal_diff,k_base,k_used
2006-09-06,Northern Ireland,Spain,UEFA Euro qualification,False,993.3242445319586,1476.4516685442823,1029.3537900308893,1440.4221230453516,1,40,40.0
2006-09-06,Norway,Moldova,UEFA Euro qualification,False,1303.1629555523702,939.7487431026958,1307.057608149874,935.854090505192,2,40,60.0
2006-09-06,Oman,Pakistan,AFC Asian Cup qualification,False,1223.0028272878892,672.5636109921758,1224.8514097108966,670.7150285691683,5,40,80.0
2006-09-06,Netherlands,Belarus,UEFA Euro qualification,False,1524.198262033199,1086.5690286179363,1527.2306965240648,1083.5365941270704,3,40,70.0
2006-09-06,Poland,Serbia,UEFA Euro qualification,False,1242.5958368972804,1281.4403793281974,1239.1113580626225,1284.9248581628553,0,40,40.0
2006-09-06,Qatar,Bangladesh,AFC Asian Cup qualification,False,1195.7384359441596,786.1923839142702,1199.2760526849092,782.6547671735207,3,40,70.0
2006-09-06,San Marino,Germany,UEFA Euro qualification,False,581.5162372764423,1507.8357824737457,580.4937310683775,1508.8582886818106,13,40,120.0
2006-09-06,Switzerland,Costa Rica,Friendly,False,1394.3160272926168,1190.4676258514332,1398.7608800947012,1186.0227730493489,2,20,30.0
2006-09-06,Singapore,China PR,AFC Asian Cup qualification,False,991.8470429949228,1172.8769334368121,996.4287278014729,1168.295248630262,0,40,40.0
2006-09-06,Slovakia,Czech Republic,UEFA Euro qualification,False,1223.7675065264434,1388.6997227428917,1195.2335475517675,1417.2336817175676,3,40,70.0
2006-09-06,Suriname,Guyana,CFU Caribbean Cup qualification,True,958.5901785943759,888.4517976863821,922.6148951350352,924.4270811457227,5,30,60.0
2006-09-06,Sweden,Liechtenstein,UEFA Euro qualification,False,1382.6753011718906,683.9657773011421,1383.2737458465317,683.367332626501,2,40,60.0
2006-09-06,Turkey,Malta,UEFA Euro qualification,True,1343.3145080746244,762.8546991843641,1345.365192298075,760.8040149609135,2,40,60.0
2006-09-06,Turks and Caicos Islands,Bahamas,CFU Caribbean Cup qualification,True,901.1636854589177,847.2077488189451,883.8527683636407,864.5186659142221,1,30,30.0
2006-09-06,Ukraine,Georgia,UEFA Euro qualification,False,1325.0663259311573,1039.5030555400824,1328.9869144912007,1035.582466980039,1,40,40.0
2006-09-06,North Macedonia,England,UEFA Euro qualification,False,1055.6673848123476,1534.6850232686052,1051.611516039573,1538.7408920413798,1,40,40.0
2006-09-06,Saudi Arabia,India,AFC Asian Cup qualification,False,1195.24156159612,860.6767269701049,1201.6802394586125,854.2380491076124,6,40,85.0
2006-09-06,Luxembourg,Latvia,Friendly,False,489.0672972842544,1013.1331529597577,497.4654891172668,1004.7349611267452,0,20,20.0
2006-09-06,Austria,Venezuela,Friendly,True,1136.8547530457126,1131.7418690446011,1126.7076030369117,1141.889019053402,1,20,20.0
2006-09-06,Kuwait,Australia,AFC Asian Cup qualification,False,1076.6815377788578,1418.1618372823345,1124.7177653182243,1370.1256097429678,2,40,60.0
2006-09-06,Albania,Romania,UEFA Euro qualification,False,1046.1510088324426,1349.280869476043,1031.9322194514227,1363.499658857063,2,40,60.0
2006-09-06,Armenia,Belgium,UEFA Euro qualification,False,935.0258377439111,1222.0156129675734,924.8583197566693,1232.1831309548152,1,40,40.0
2006-09-06,United Arab Emirates,Jordan,AFC Asian Cup qualification,False,1137.812224014773,1111.3951769886894,1130.8400780429088,1118.3673229605536,0,40,40.0
2006-09-06,Azerbaijan,Kazakhstan,UEFA Euro qualification,False,890.8878982440413,946.5447881960632,888.3490739568316,949.0836124832729,0,40,40.0
2006-09-06,Bosnia and Herzegovina,Hungary,UEFA Euro qualification,False,1169.0834272008397,1121.9085552846063,1127.0845762793404,1163.9074062061056,2,40,60.0
2006-09-06,Bulgaria,Slovenia,UEFA Euro qualification,False,1249.228909606551,1121.1185136930787,1264.0666039562761,1106.2808193433536,3,40,70.0
2006-09-06,Cuba,Cayman Islands,CFU Caribbean Cup qualification,False,1166.4518018724184,801.6493279843345,1170.8006579672967,797.3004718894562,7,30,67.5
2006-09-06,Curaçao,Grenada,CFU Caribbean Cup qualification,False,906.3530302332645,978.1949389931675,905.1400024228565,979.4079668035755,0,30,30.0
2006-09-06,Lithuania,Scotland,UEFA Euro qualification,False,1031.6782773921827,1234.481710382063,1017.4292535262454,1248.7307342480005,1,40,40.0
2006-09-06,Ecuador,Peru,Friendly,True,1312.7851495771863,1172.4663625421563,1308.9525960787669,1176.2989160405757,0,20,20.0
